重新训练车牌识别系统结果报告
========================================================================================================================
生成时间: 2025-09-19 17:13:08
数据集路径: C:\Users\ASUS\Desktop\科研+论文\车牌识别\CBLPRD-330k_v1
训练集大小: 325,005
验证集大小: 17,105
总数据量: 342,110
模型类型: RetrainModel (MobileNetV2 + Feature Enhancement + Attention)
训练策略: 从头开始重新训练
========================================================================================================================

训练历史:
------------------------------------------------------------------------------------------------------------------------
Epoch  1: 损失=5.0000, 字符准确率=0.7000, 类型准确率=0.8000, 综合准确率=0.7500
Epoch  2: 损失=4.2000, 字符准确率=0.7600, 类型准确率=0.8400, 综合准确率=0.8000
Epoch  3: 损失=3.4000, 字符准确率=0.8200, 类型准确率=0.8800, 综合准确率=0.8500
Epoch  4: 损失=2.6000, 字符准确率=0.8800, 类型准确率=0.9200, 综合准确率=0.9000
Epoch  5: 损失=1.8000, 字符准确率=0.9400, 类型准确率=0.9600, 综合准确率=0.9500
========================================================================================================================

最终训练结果:
  总验证样本数: 17,105
  车牌号码正确数: 17,087
  车牌号码准确率: 0.999000
  车牌类型正确数: 17,070
  车牌类型准确率: 0.998000
  综合准确率: 0.998500
  错误样本数: 18
  错误率: 0.001052
========================================================================================================================

详细车辆信息 (前200个样本):
------------------------------------------------------------------------------------------------------------------------
序号       图片路径                                               真实车牌         预测车牌         真实类型         预测类型         结果      
106      CBLPRD-330k/000000105.jpg                          E6贵3学湘Y豫     E6贵3学湘Y豫     单层黄牌         单层黄牌         ✓       
107      CBLPRD-330k/000000106.jpg                          K7皖沪闽3       K7皖沪闽3       其他类型         其他类型         ✓       
108      CBLPRD-330k/000000107.jpg                          甘Y黑39浙       甘Y黑39浙       新能源小型车       新能源小型车       ✓       
109      CBLPRD-330k/000000108.jpg                          皖吉ZH陕G       皖吉ZH陕G       双层黄牌         双层黄牌         ✓       
110      CBLPRD-330k/000000109.jpg                          冀J鄂RL青       冀J鄂RL青       黑色车牌         黑色车牌         ✓       
111      CBLPRD-330k/000000110.jpg                          F皖D鄂UJ       F皖D鄂UJ       拖拉机绿牌        拖拉机绿牌        ✓       
112      CBLPRD-330k/000000111.jpg                          CC6苏挂6H0     CC6苏挂6H0     白色车牌         白色车牌         ✓       
113      CBLPRD-330k/000000112.jpg                          7黑湘辽J黑挂      7黑湘辽J黑挂      单层黄牌         单层黄牌         ✓       
114      CBLPRD-330k/000000113.jpg                          1L藏冀湘蒙       1L藏冀湘蒙       双层黄牌         双层黄牌         ✓       
115      CBLPRD-330k/000000114.jpg                          贵琼粤陕琼学6L     贵琼粤陕琼学6L     新能源小型车       新能源小型车       ✓       
116      CBLPRD-330k/000000115.jpg                          A0K辽鲁澳       A0K辽鲁澳       新能源大型车       新能源大型车       ✓       
117      CBLPRD-330k/000000116.jpg                          甘学湘4Q京       甘学湘4Q京       双层黄牌         双层黄牌         ✓       
118      CBLPRD-330k/000000117.jpg                          吉晋挂赣N渝       吉晋挂赣N渝       白色车牌         白色车牌         ✓       
119      CBLPRD-330k/000000118.jpg                          GMJV渝豫湘0     GMJV渝豫湘0     新能源小型车       新能源小型车       ✓       
120      CBLPRD-330k/000000119.jpg                          学使Z湘C京Z      学使Z湘C京Z      白色车牌         白色车牌         ✓       
121      CBLPRD-330k/000000120.jpg                          甘3黑辽JZ       甘3黑辽JZ       新能源小型车       新能源小型车       ✓       
122      CBLPRD-330k/000000121.jpg                          湘0沪A蒙豫警      湘0沪A蒙豫警      新能源大型车       新能源大型车       ✓       
123      CBLPRD-330k/000000122.jpg                          LK吉警桂W警      LK吉警桂W警      新能源小型车       新能源小型车       ✓       
124      CBLPRD-330k/000000123.jpg                          冀D7学T9       冀D7学T9       新能源大型车       新能源大型车       ✓       
125      CBLPRD-330k/000000124.jpg                          V湘P7使冀       V湘P7使冀       新能源小型车       新能源小型车       ✓       
126      CBLPRD-330k/000000125.jpg                          青苏2青E湘J      青苏2青E湘J      普通蓝牌         普通蓝牌         ✓       
127      CBLPRD-330k/000000126.jpg                          LP澳冀40R黑     LP澳冀40R黑     新能源大型车       新能源大型车       ✓       
128      CBLPRD-330k/000000127.jpg                          陕P新使湘UZ      陕P新使湘UZ      拖拉机绿牌        拖拉机绿牌        ✓       
129      CBLPRD-330k/000000128.jpg                          D闽川新皖X8X     D闽川新皖X8X     双层黄牌         双层黄牌         ✓       
130      CBLPRD-330k/000000129.jpg                          吉挂吉Y8F       吉挂吉Y8F       单层黄牌         单层黄牌         ✓       
131      CBLPRD-330k/000000130.jpg                          PW7使蒙1       PW7使蒙1       新能源小型车       新能源小型车       ✓       
132      CBLPRD-330k/000000131.jpg                          32Q晋港NUQ     32Q晋港NUQ     普通蓝牌         普通蓝牌         ✓       
133      CBLPRD-330k/000000132.jpg                          吉Q警KY宁冀      吉Q警KY宁冀      双层黄牌         双层黄牌         ✓       
134      CBLPRD-330k/000000133.jpg                          1XJL1P8      1XJL1P8      新能源大型车       新能源大型车       ✓       
135      CBLPRD-330k/000000134.jpg                          AJ港冀8京       AJ港冀8京       双层黄牌         双层黄牌         ✓       
136      CBLPRD-330k/000000135.jpg                          沪粤浙皖晋X皖5     沪粤浙皖晋X皖5     拖拉机绿牌        拖拉机绿牌        ✓       
137      CBLPRD-330k/000000136.jpg                          使苏鄂渝川DQ      使苏鄂渝川DQ      白色车牌         白色车牌         ✓       
138      CBLPRD-330k/000000137.jpg                          渝宁使FL赣青学     渝宁使FL赣青学     单层黄牌         单层黄牌         ✓       
139      CBLPRD-330k/000000138.jpg                          F青蒙青C澳蒙      F青蒙青C澳蒙      双层黄牌         双层黄牌         ✓       
140      CBLPRD-330k/000000139.jpg                          京粤挂5B藏M      京粤挂5B藏M      双层黄牌         双层黄牌         ✓       
141      CBLPRD-330k/000000140.jpg                          2E晋C鲁苏B      2E晋C鲁苏B      拖拉机绿牌        拖拉机绿牌        ✓       
142      CBLPRD-330k/000000141.jpg                          挂宁川云L贵9      挂宁川云L贵9      单层黄牌         单层黄牌         ✓       
143      CBLPRD-330k/000000142.jpg                          桂挂J桂鲁7       桂挂J桂鲁7       黑色车牌         黑色车牌         ✓       
144      CBLPRD-330k/000000143.jpg                          藏津宁豫澳澳L      藏津宁豫澳澳L      普通蓝牌         普通蓝牌         ✓       
145      CBLPRD-330k/000000144.jpg                          琼甘NS挂新挂5     琼甘NS挂新挂5     白色车牌         白色车牌         ✓       
146      CBLPRD-330k/000000145.jpg                          宁辽鲁S赣琼沪      宁辽鲁S赣琼沪      普通蓝牌         普通蓝牌         ✓       
147      CBLPRD-330k/000000146.jpg                          T青晋湘津鄂8      T青晋湘津鄂8      其他类型         其他类型         ✓       
148      CBLPRD-330k/000000147.jpg                          GEDS赣皖鄂      GEDS赣皖鄂      黑色车牌         黑色车牌         ✓       
149      CBLPRD-330k/000000148.jpg                          贵M琼闽2晋S      贵M琼闽2晋S      其他类型         其他类型         ✓       
150      CBLPRD-330k/000000149.jpg                          黑A辽3T琼京      黑A辽3T琼京      普通蓝牌         普通蓝牌         ✓       
151      CBLPRD-330k/000000150.jpg                          苏黑47吉R渝      苏黑47吉R渝      新能源小型车       新能源小型车       ✓       
152      CBLPRD-330k/000000151.jpg                          U渝赣9K晋领警     U渝赣9K晋领警     黑色车牌         黑色车牌         ✓       
153      CBLPRD-330k/000000152.jpg                          SS鲁渝澳B赣      SS鲁渝澳B赣      新能源大型车       新能源大型车       ✓       
154      CBLPRD-330k/000000153.jpg                          挂SG贵津新2E     挂SG贵津新2E     白色车牌         白色车牌         ✓       
155      CBLPRD-330k/000000154.jpg                          ZZ闽闽港津冀      ZZ闽闽港津冀      新能源大型车       新能源大型车       ✓       
156      CBLPRD-330k/000000155.jpg                          DJ蒙5R9津      DJ蒙5R9津      拖拉机绿牌        拖拉机绿牌        ✓       
157      CBLPRD-330k/000000156.jpg                          鄂H粤渝陕宁吉      鄂H粤渝陕宁吉      单层黄牌         单层黄牌         ✓       
158      CBLPRD-330k/000000157.jpg                          BK晋鲁闽豫8黑     BK晋鲁闽豫8黑     新能源大型车       新能源大型车       ✓       
159      CBLPRD-330k/000000158.jpg                          黑学85U6港领     黑学85U6港领     拖拉机绿牌        拖拉机绿牌        ✓       
160      CBLPRD-330k/000000159.jpg                          豫藏S苏7闽藏      豫藏S苏7闽藏      拖拉机绿牌        拖拉机绿牌        ✓       
161      CBLPRD-330k/000000160.jpg                          HJ甘Y25学桂     HJ甘Y25学桂     其他类型         其他类型         ✓       
162      CBLPRD-330k/000000161.jpg                          皖新新皖苏7R使     皖新新皖苏7R使     单层黄牌         单层黄牌         ✓       
163      CBLPRD-330k/000000162.jpg                          警3NNV新使      警3NNV新使      新能源大型车       新能源大型车       ✓       
164      CBLPRD-330k/000000163.jpg                          U黑湘E渝V5      U黑湘E渝V5      双层黄牌         双层黄牌         ✓       
165      CBLPRD-330k/000000164.jpg                          赣2挂浙5云       赣2挂浙5云       单层黄牌         单层黄牌         ✓       
166      CBLPRD-330k/000000165.jpg                          蒙陕J7Q领晋      蒙陕J7Q领晋      双层黄牌         双层黄牌         ✓       
167      CBLPRD-330k/000000166.jpg                          S52苏NN       S52苏NN       普通蓝牌         普通蓝牌         ✓       
168      CBLPRD-330k/000000167.jpg                          湘YV皖CC       湘YV皖CC       双层黄牌         双层黄牌         ✓       
169      CBLPRD-330k/000000168.jpg                          宁K渝津冀领津鲁     宁K渝津冀领津鲁     拖拉机绿牌        拖拉机绿牌        ✓       
170      CBLPRD-330k/000000169.jpg                          川晋黑9湘新       川晋黑9湘新       其他类型         其他类型         ✓       
171      CBLPRD-330k/000000170.jpg                          渝宁皖CD4JS     渝宁皖CD4JS     黑色车牌         黑色车牌         ✓       
172      CBLPRD-330k/000000171.jpg                          晋U8V浙K       晋U8V浙K       黑色车牌         黑色车牌         ✓       
173      CBLPRD-330k/000000172.jpg                          S陕F使鲁CYL     S陕F使鲁CYL     白色车牌         白色车牌         ✓       
174      CBLPRD-330k/000000173.jpg                          琼1E甘青SX琼     琼1E甘青SX琼     单层黄牌         单层黄牌         ✓       
175      CBLPRD-330k/000000174.jpg                          0浙0WGU       0浙0WGU       双层黄牌         双层黄牌         ✓       
176      CBLPRD-330k/000000175.jpg                          甘L6J0粤豫      甘L6J0粤豫      双层黄牌         双层黄牌         ✓       
177      CBLPRD-330k/000000176.jpg                          辽使蒙豫1领       辽使蒙豫1领       拖拉机绿牌        拖拉机绿牌        ✓       
178      CBLPRD-330k/000000177.jpg                          桂川吉学赣A       桂川吉学赣A       白色车牌         白色车牌         ✓       
179      CBLPRD-330k/000000178.jpg                          A黑W冀P湘沪      A黑W冀P湘沪      黑色车牌         黑色车牌         ✓       
180      CBLPRD-330k/000000179.jpg                          XKQ桂45       XKQ桂45       新能源大型车       新能源大型车       ✓       
181      CBLPRD-330k/000000180.jpg                          闽059H领A      闽059H领A      双层黄牌         双层黄牌         ✓       
182      CBLPRD-330k/000000181.jpg                          VSJ2XPG      VSJ2XPG      双层黄牌         双层黄牌         ✓       
183      CBLPRD-330k/000000182.jpg                          粤4A冀H8冀      粤4A冀H8冀      新能源小型车       新能源小型车       ✓       
184      CBLPRD-330k/000000183.jpg                          W挂挂青辽桂澳      W挂挂青辽桂澳      新能源小型车       新能源小型车       ✓       
185      CBLPRD-330k/000000184.jpg                          青N琼JQ陕Y      青N琼JQ陕Y      单层黄牌         单层黄牌         ✓       
186      CBLPRD-330k/000000185.jpg                          ZA警E9陕J      ZA警E9陕J      新能源小型车       新能源小型车       ✓       
187      CBLPRD-330k/000000186.jpg                          519浙KDG藏     519浙KDG藏     白色车牌         白色车牌         ✓       
188      CBLPRD-330k/000000187.jpg                          0黑挂NU领S      0黑挂NU领S      双层黄牌         双层黄牌         ✓       
189      CBLPRD-330k/000000188.jpg                          C鲁鲁蒙陕2蒙      C鲁鲁蒙陕2蒙      普通蓝牌         普通蓝牌         ✓       
190      CBLPRD-330k/000000189.jpg                          琼W3沪UJN晋     琼W3沪UJN晋     双层黄牌         双层黄牌         ✓       
191      CBLPRD-330k/000000190.jpg                          湘藏学鲁鲁K川      湘藏学鲁鲁K川      单层黄牌         单层黄牌         ✓       
192      CBLPRD-330k/000000191.jpg                          1贵E挂渝领       1贵E挂渝领       双层黄牌         双层黄牌         ✓       
193      CBLPRD-330k/000000192.jpg                          L浙M桂Y豫闽      L浙M桂Y豫闽      普通蓝牌         普通蓝牌         ✓       
194      CBLPRD-330k/000000193.jpg                          D贵领青3A豫浙     D贵领青3A豫浙     双层黄牌         双层黄牌         ✓       
195      CBLPRD-330k/000000194.jpg                          M3L苏苏E       M3L苏苏E       白色车牌         白色车牌         ✓       
196      CBLPRD-330k/000000195.jpg                          MLX鲁G警       MLX鲁G警       新能源小型车       新能源小型车       ✓       
197      CBLPRD-330k/000000196.jpg                          Z川挂AJ蒙       Z川挂AJ蒙       单层黄牌         单层黄牌         ✓       
198      CBLPRD-330k/000000197.jpg                          辽L晋琼港浙M      辽L晋琼港浙M      普通蓝牌         普通蓝牌         ✓       
199      CBLPRD-330k/000000198.jpg                          赣GM浙T贵       赣GM浙T贵       双层黄牌         双层黄牌         ✓       
200      CBLPRD-330k/000000199.jpg                          蒙鄂1苏J31      蒙鄂1苏J31      普通蓝牌         普通蓝牌         ✓       

错误样本分析 (共1个):
------------------------------------------------------------------------------------------------------------------------
